Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9489
Average RMSE of lnk within 500-2000K is 2.7774
Average NRMSE of lnk within 500-2000K is 14.65%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7438	8.2059	89.84%	35.19%
n:	0.7106	1.0569	105.44%	61.43%
E:	0.9657	3868.3718	112.49%	20.37%
lnk(500K):	0.9621	3.4564	63.11%	20.71%
lnk(1000K):	0.9041	2.5063	17.77%	12.53%
lnk(2000K):	0.6287	2.5222	8.43%	10.07%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5222	2.4761	2.4549	2.4545	2.4723	2.5063	2.5550	2.6170	2.6909	2.7757	2.8702	2.9735	3.0845	3.2025	3.3267	3.4564
NRMSE:	10.07%	10.35%	10.75%	11.28%	11.93%	12.53%	13.14%	13.85%	14.58%	15.35%	16.16%	17.04%	17.95%	18.87%	19.78%	20.71%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
COCO2HOCO2J=COC*OOCO2H+OH	23.9966	0.8060	17141.0000	11.7542	20.9386	25.8101	20.8587	0.8239	16918.0840	8.9522	18.0369	22.8647
CH3OCH3=CH3+CH3O	44.5950	-0.6610	84139.0000	-44.1936	-2.3114	18.4006	51.2475	-1.5525	83728.4219	-42.6682	-1.6105	18.3803
CH3OCH3+OH=CH3OCH2+H2O	13.7483	2.2900	-780.7002	28.7655	29.9599	31.3508	15.4344	1.7567	473.9702	25.8748	27.3309	28.6679
CH3OCH3+CH3=CH3OCH2+CH4	1.9488	3.7800	9687.1006	15.6905	23.1853	28.2428	10.0443	2.3632	6363.8311	18.3258	23.1663	26.4055
CH3OCH2O2=CH2OCH2O2H	33.5445	-1.1300	20034.0000	6.3590	15.6573	19.9148	17.0649	1.0565	18087.5508	5.4268	15.2612	20.5445
PODE2+CH3O=PODE2A+CH3OH	1.2060	3.6200	1386.2300	22.3077	25.5145	28.3724	2.2409	3.4383	8886.4951	14.6647	21.5198	26.1389
PODE2BO2=PODE2_OOH3_5	19.1908	0.9900	18451.2402	6.7732	16.7444	22.0732	19.2858	0.5528	15028.4668	7.5962	15.5420	19.7065
PODE2_OOH3_1=COCOC*O+CH2O+OH	23.3765	1.2400	21319.3105	9.6260	21.2138	27.4375	26.4971	0.3066	15332.2090	12.9716	20.8996	24.9698
PODE2_OOH3_1=C4H8O4_13+OH	31.2971	-0.2000	20411.0898	9.5117	19.6443	24.6413	37.1829	-1.0287	16376.5254	14.3081	21.8361	25.2436
PODE2_OOH3_5=COCO2HOC*O+CH3	24.7486	0.6300	16443.5898	12.1144	20.8258	25.3998	27.6469	0.3097	14390.1035	15.0889	22.5449	26.3803
PODE2_OOH3_5=CH3OCHO+CH3OCHO+OH	40.5126	-0.8000	15272.4688	20.1701	27.3010	30.5892	25.1991	0.4687	14151.6914	13.8691	21.3154	25.2010
C2H5OC2H5+H=C2H5OCH2CH2+H2	19.2751	1.9300	10743.0010	20.4571	27.2010	31.2418	19.8010	1.3038	3563.8604	24.3169	27.0141	28.8145
C2H5OC2H5+OH=C2H5OCH2CH2+H2O	21.7349	1.3000	4138.0000	25.6492	28.6326	30.5749	19.6340	1.1748	1032.6118	25.8960	27.2300	28.3041
C2H5OCH2CH2=C2H5O+C2H4	45.3281	-2.0200	25971.0000	6.6364	18.3053	23.4397	30.3801	0.4049	27391.3242	5.3287	19.3932	26.5658
C2H5OCH2CH2+O2=C4H9OaOO	35.1092	-0.9752	-351.5898	29.4026	28.5497	27.7853	35.5918	-0.5021	1346.8135	31.1159	31.4456	31.4364
C4H9OaOO=C4H8OaOOHc	14.0306	1.2800	14623.7988	7.2674	15.5136	20.0803	16.8192	1.2387	20749.7402	3.6337	14.9340	21.0134
C4H9OaOO=C4H8OaOOHd	12.2453	1.4200	20871.5996	0.0640	11.5513	17.7871	17.2452	1.1978	20055.5801	4.5042	15.4268	21.3032
C4H8ObOOHa=C4H8OcyOab+OH	24.8292	0.6300	12036.5000	16.6304	23.1241	26.5893	33.6937	-0.5747	14811.0898	15.2154	22.2703	25.5985
C4H8ObOOHd=C4H8OcyOac+OH	24.3288	0.2700	14927.9004	10.9827	18.6819	22.6250	24.4243	0.4273	13740.2539	13.2511	20.4616	24.2150
C2H5OCH2OC2H5+H=C2H5OCHOC2H5+H2	15.6205	2.0900	5009.2002	23.5676	27.5370	30.2460	17.1856	1.5020	2784.9429	23.7168	26.1593	27.9011
C2H5OCH2OC2H4s=C2H5OCH2+CH3CHO	27.1956	0.5770	22818.4004	7.8161	19.6987	25.8400	26.4003	0.5799	20446.8770	9.4259	20.1171	25.6637
C3H8+OH=IC3H7+H2O	12.8316	2.3051	-561.3223	27.7221	29.0374	30.4940	16.1337	1.3566	4967.0312	19.5656	23.0054	25.1955
C3H8+CH3O=NC3H7+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	23.4124	0.7341	13106.7578	14.7835	21.8879	25.6945
IC3H7O2=C3H6OOH2-1	20.0020	1.1000	33500.0000	-6.8776	10.7427	19.9341	19.0953	0.4589	23786.5020	-1.9923	10.2956	16.5986
O2+C3H6OOH1-3=C3H6OOH1-3O2	41.8250	-1.8500	1005.8398	29.3156	28.5395	27.5102	31.0525	-0.4408	739.1079	27.5695	27.6360	27.5164
C3H6OOH1-2O2=OH+C3KET12	23.6937	0.1540	25611.9980	-1.1262	11.8690	18.4200	18.0531	1.1092	19543.7676	5.2766	15.8803	21.5665
C4H10=C2H5+C2H5	66.1072	-2.8700	96053.3984	-48.4006	-2.0540	20.1247	72.7256	-2.8002	101811.8438	-47.1438	2.1489	25.8249
C4H10+OH=SC4H9+H2O	18.3524	1.6100	-35.0000	28.3931	29.4915	30.5987	20.4125	0.8051	4234.4531	21.1545	23.8434	25.4669
C4H10+CH3O=SC4H9+CH3OH	27.1202	0.0000	7000.0000	20.0751	23.5977	25.3589	23.0231	0.4266	7166.4951	18.4616	22.3637	24.4625
SC4H9+O2=SC4H9O2	33.4852	-0.8160	-536.5000	28.9541	28.1185	27.4179	38.2072	-1.1222	-275.7456	31.5109	30.5943	29.7471
